subject,predicate,object
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Material,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Substance
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Material,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Hydrogen Technology Material
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Material,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Material Science
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Material,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Engineering Material
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Material,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Chemical Compound
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Matter,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Matter,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#onto_name,Matter
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Matter,http://www.w3.org/2000/01/rdf-schema#comment,"Matter is anything that has mass and takes up space. It can exist in three states: solid, liquid, or gas. In materials science, matter is studied to understand its properties and behavior, and to develop new materials with desired properties."
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Matter,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Substance
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Matter,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Material
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Matter,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Physical Substance
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Matter,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Stuff
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Acid,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Acid,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ChemicalSubstance
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Acid,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#onto_name,Acid
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Acid,http://www.w3.org/2000/01/rdf-schema#comment,"Acid is a chemical compound that donates hydrogen ions (H+) to a solution, lowering its pH and increasing its acidity. Acids are commonly used in hydrogen technologies as electrolytes in fuel cells and batteries to facilitate ion transport and electrochemical reactions."
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Acid,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Hydrogen Ion Donor
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Acid,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Proton Donor
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Acid,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Acidic Electrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Acid,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Acidic Solution
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ChemicalSubstance,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ChemicalSubstance,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ChemicalEntity
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ChemicalSubstance,http://www.w3.org/2002/07/owl#disjointWith,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#MolecularEntity
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ChemicalSubstance,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#onto_name,ChemicalSubstance
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ChemicalSubstance,http://www.w3.org/2000/01/rdf-schema#comment,"A Chemical Substance is any material with a definite chemical composition. It can be a pure substance or a mixture of substances. In hydrogen technologies, chemical substances are used as reactants, catalysts, and electrolytes in various electrochemical processes, such as fuel cells, electrolyzers, and batteries."
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ChemicalSubstance,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Chemical Compound
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ChemicalSubstance,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Chemical Element
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ChemicalSubstance,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Chemical Mixture
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ChemicalSubstance,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Chemical Reagent
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ChemicalSubstance,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Chemical Species
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ChemicalEntity,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ChemicalEntity,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Matter
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ChemicalEntity,http://www.w3.org/2002/07/owl#disjointWith,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Material
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ChemicalEntity,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#onto_name,ChemicalEntity
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ChemicalEntity,http://www.w3.org/2000/01/rdf-schema#comment,"A chemical entity is any substance or compound that has a distinct molecular composition and is capable of undergoing a chemical reaction. It can be a pure substance or a mixture of substances, and can be either organic or inorganic."
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ChemicalEntity,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Chemical Species
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ChemicalEntity,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Chemical Compound
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ChemicalEntity,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Chemical Substance
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ChemicalEntity,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Molecular Entity
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#MolecularEntity,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#MolecularEntity,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ChemicalEntity
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#MolecularEntity,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#onto_name,MolecularEntity
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#MolecularEntity,http://www.w3.org/2000/01/rdf-schema#comment,"A Molecular Entity is an electrically neutral group of two or more atoms held together by chemical bonds. It can be a molecule, an ion, or a radical. Molecular entities are the building blocks of all chemical substances and play a crucial role in materials science and hydrogen technologies."
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#MolecularEntity,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Chemical Entity
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#MolecularEntity,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Chemical Compound
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#MolecularEntity,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Chemical Species
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#MolecularEntity,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Molecular System
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#MolecularEntity,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Molecular Species
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AcidicElectrolyte,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AcidicElectrolyte,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AqueousElectrloyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AcidicElectrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#onto_name,AcidicElectrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AcidicElectrolyte,http://www.w3.org/2000/01/rdf-schema#comment,"An acidic electrolyte is an electrolyte solution with a pH less than 7, commonly used in electrochemical devices such as batteries and fuel cells. It provides a source of ions for the electrochemical reactions to occur and facilitates the movement of ions between the electrodes."
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AcidicElectrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Acidic Solution Electrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AcidicElectrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Low-pH Electrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AcidicElectrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Acidic Fuel Cell Electrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AcidicElectrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Acidic Battery Electrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AqueousElectrloyte,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AqueousElectrloyte,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ElectrlyteSolution
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AqueousElectrloyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#onto_name,AqueousElectrloyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AqueousElectrloyte,http://www.w3.org/2000/01/rdf-schema#comment,"An Aqueous Electrolyte is an electrolyte solution composed of water and dissolved salts or acids. It is commonly used in electrochemical devices such as batteries, fuel cells, and supercapacitors, due to its high ionic conductivity and low cost."
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AqueousElectrloyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Water-Based Electrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AqueousElectrloyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Hydrophilic Electrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AqueousElectrloyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Aqueous Solution
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AqueousElectrloyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Water-Based Ionic Liquid
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AqueousElectrloyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Water-Based Salt Solution
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ElectrlyteSolution,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ElectrlyteSolution,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#LiquidElectrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ElectrlyteSolution,http://www.w3.org/2002/07/owl#disjointWith,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#IonicLiquidElectrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ElectrlyteSolution,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#onto_name,ElectrlyteSolution
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ElectrlyteSolution,http://www.w3.org/2000/01/rdf-schema#comment,"An electrolyte solution is a liquid or gel that contains ions and can conduct electricity. It is used in batteries, fuel cells, and other electrochemical devices to facilitate the movement of ions between the electrodes and maintain charge balance."
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ElectrlyteSolution,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Ionic Solution
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ElectrlyteSolution,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Conductive Solution
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ElectrlyteSolution,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Electrolytic Solution
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ElectrlyteSolution,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Ionic Liquid
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ElectrlyteSolution,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Ionic Gel
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#LiquidElectrolyte,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#LiquidElectrolyte,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Electrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#LiquidElectrolyte,http://www.w3.org/2002/07/owl#disjointWith,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#SolidElectrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#LiquidElectrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#onto_name,LiquidElectrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#LiquidElectrolyte,http://www.w3.org/2000/01/rdf-schema#comment,"A Liquid Electrolyte is a conductive solution used in batteries and fuel cells to facilitate the movement of ions between the electrodes. It is typically composed of a solvent and a dissolved salt or other ionic compound, and can be either aqueous or non-aqueous."
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#LiquidElectrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Liquid Electrolytic Solution
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#LiquidElectrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Conductive Liquid
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#LiquidElectrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Electrolyte Liquid
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#LiquidElectrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Liquid Ionic Conductor
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#LiquidElectrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Liquid Salt
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#IonicLiquidElectrolyte,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#IonicLiquidElectrolyte,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#LiquidElectrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#IonicLiquidElectrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#onto_name,IonicLiquidElectrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#IonicLiquidElectrolyte,http://www.w3.org/2000/01/rdf-schema#comment,"An Ionic Liquid Electrolyte is a type of electrolyte composed entirely of ionic liquids, which are salts that are liquid at or near room temperature. They are used in electrochemical devices such as batteries and fuel cells, offering high ionic conductivity, low volatility, and wide electrochemical stability windows."
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#IonicLiquidElectrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,IL Electrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#IonicLiquidElectrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Ionic Liquid-Based Electrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#IonicLiquidElectrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Room-Temperature Ionic Liquid Electrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#IonicLiquidElectrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,RTIL Electrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Electrolyte,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Electrolyte,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ElectrochemicalMaterial
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Electrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#onto_name,Electrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Electrolyte,http://www.w3.org/2000/01/rdf-schema#comment,"An electrolyte is a substance that conducts electricity when dissolved in a solvent, typically water. In electrochemical devices, such as batteries and fuel cells, electrolytes are used to transport ions between the electrodes, enabling the flow of electrical current."
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Electrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Ionic Solution
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Electrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Conductive Solution
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Electrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Electrolytic Solution
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Electrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Ionic Conductor
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Electrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Electrolytic Medium
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#SolidElectrolyte,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#SolidElectrolyte,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Electrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#SolidElectrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#onto_name,SolidElectrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#SolidElectrolyte,http://www.w3.org/2000/01/rdf-schema#comment,"A solid electrolyte is a non-liquid material that can conduct ions. It is used in batteries and fuel cells as an alternative to liquid electrolytes, offering improved safety, stability, and performance. Solid electrolytes can be made from a variety of materials, including ceramics, polymers, and composites."
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#SolidElectrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Solid-State Electrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#SolidElectrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Non-Liquid Electrolyte
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#SolidElectrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Solid Ionic Conductor
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#SolidElectrolyte,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Solid-State Ion Conductor
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ElectrochemicalMaterial,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ElectrochemicalMaterial,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#FunctionalMaterial
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ElectrochemicalMaterial,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#onto_name,ElectrochemicalMaterial
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ElectrochemicalMaterial,http://www.w3.org/2000/01/rdf-schema#comment,"An electrochemical material is a substance that can undergo electrochemical reactions, such as oxidation and reduction, in an electrochemical cell. These materials are used in batteries, fuel cells, and other electrochemical devices to store and convert energy."
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ElectrochemicalMaterial,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Electroactive Material
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#ElectrochemicalMaterial,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Electrode Material
